barcode	gene_id	normalized_count
TCGA-A6-5659-01A-01R-1653-07	AASDH|132949	411.0244
TCGA-A6-5659-01A-01R-1653-07	AASS|10157	80.5012
TCGA-A6-5659-01A-01R-1653-07	AATF|26574	1994.2137
TCGA-A6-5659-01A-01R-1653-07	AATK|9625	56.223
TCGA-A6-5659-01A-01R-1653-07	ABAT|18	652.9538
TCGA-A6-5659-01A-01R-1653-07	ABCA10|10349	3.8334
TCGA-A6-5659-01A-01R-1653-07	ABCA11P|79963	54.728
TCGA-A6-5659-01A-01R-1653-07	ABCA12|26154	.4259
TCGA-A6-5659-01A-01R-1653-07	ABCA13|154664	33.2227
TCGA-A6-5659-01A-01R-1653-07	ABCA17P|650655	5.1112
TCGA-A6-5659-01A-01R-1653-07	ABCA1|19	184.0026
TCGA-A6-5659-01A-01R-1653-07	ABCA2|20	426.358
TCGA-A6-5659-01A-01R-1653-07	ABCA3|21	77.0937
TCGA-A6-5659-01A-01R-1653-07	ABCA4|24	2.9815
TCGA-A6-5659-01A-01R-1653-07	ABCA5|23461	105.6311
TCGA-A6-5659-01A-01R-1653-07	ABCA6|23460	8.0927
TCGA-A6-5659-01A-01R-1653-07	ABCA7|10347	258.1148
TCGA-A6-5659-01A-01R-1653-07	ABCA8|10351	20.0188
TCGA-A6-5659-01A-01R-1653-07	ABCA9|10350	10.6483
TCGA-A6-5659-01A-01R-1653-07	ABCB10|23456	780.3075
TCGA-A6-5659-01A-01R-1653-07	ABCB11|8647	0
TCGA-A6-5659-01A-01R-1653-07	ABCB1|5243	1082.2933
TCGA-A6-5659-01A-01R-1653-07	ABCB4|5244	16.6113
TCGA-A6-5659-01A-01R-1653-07	ABCB5|340273	2.1297
TCGA-A6-5659-01A-01R-1653-07	ABCB6|10058	283.0318
TCGA-A6-5659-01A-01R-1653-07	ABCB7|22	1087.4044
TCGA-A6-5659-01A-01R-1653-07	ABCB8|11194	766.2517
TCGA-A6-5659-01A-01R-1653-07	ABCB9|23457	46.5714
TCGA-A6-5659-01A-01R-1653-07	ABCC10|89845	765.3998
TCGA-A6-5659-01A-01R-1653-07	ABCC11|85320	.8519
TCGA-A6-5659-01A-01R-1653-07	ABCC12|94160	0
TCGA-A6-5659-01A-01R-1653-07	ABCC13|150000	1.2778
TCGA-A6-5659-01A-01R-1653-07	ABCC1|4363	2526.2028
TCGA-A6-5659-01A-01R-1653-07	ABCC2|1244	60.9083
TCGA-A6-5659-01A-01R-1653-07	ABCC3|8714	1666.672
TCGA-A6-5659-01A-01R-1653-07	ABCC4|10257	758.5849
TCGA-A6-5659-01A-01R-1653-07	ABCC5|10057	706.6212
TCGA-A6-5659-01A-01R-1653-07	ABCC6P1|653190	19.5929
TCGA-A6-5659-01A-01R-1653-07	ABCC6P2|730013	55.7971
TCGA-A6-5659-01A-01R-1653-07	ABCC6|368	255.5592
TCGA-A6-5659-01A-01R-1653-07	ABCC8|6833	.4259
TCGA-A6-5659-01A-01R-1653-07	ABCC9|10060	49.834
TCGA-A6-5659-01A-01R-1653-07	ABCD1|215	508.5628
TCGA-A6-5659-01A-01R-1653-07	ABCD2|225	2.9815
TCGA-A6-5659-01A-01R-1653-07	ABCD3|5825	1515.8921
TCGA-A6-5659-01A-01R-1653-07	ABCD4|5826	335.6344
TCGA-A6-5659-01A-01R-1653-07	ABCE1|6059	3313.7511
TCGA-A6-5659-01A-01R-1653-07	ABCF1|23	2592.2223
TCGA-A6-5659-01A-01R-1653-07	ABCF2|10061	2438.0349
TCGA-A6-5659-01A-01R-1653-07	ABCF3|55324	1019.6813
TCGA-A6-5659-01A-01R-1653-07	ABCG1|9619	419.969
TCGA-A6-5659-01A-01R-1653-07	ABCG2|9429	14.0558
TCGA-A6-5659-01A-01R-1653-07	ABCG4|64137	2.1297
TCGA-A6-5659-01A-01R-1653-07	ABCG5|64240	9.7964
TCGA-A6-5659-01A-01R-1653-07	ABCG8|64241	2.5556
TCGA-A6-5659-01A-01R-1653-07	ABHD10|55347	611.2124
TCGA-A6-5659-01A-01R-1653-07	ABHD11|83451	1650.0606
TCGA-A6-5659-01A-01R-1653-07	ABHD12B|145447	0
TCGA-A6-5659-01A-01R-1653-07	ABHD12|26090	3160.4156
TCGA-A6-5659-01A-01R-1653-07	ABHD13|84945	662.7502
TCGA-A6-5659-01A-01R-1653-07	ABHD14A|25864	119.0224
TCGA-A6-5659-01A-01R-1653-07	ABHD14B|84836	2075.9927
TCGA-A6-5659-01A-01R-1653-07	ABHD15|116236	288.356
TCGA-A6-5659-01A-01R-1653-07	ABHD1|84696	16.6113
TCGA-A6-5659-01A-01R-1653-07	ABHD2|11057	4112.7996
TCGA-A6-5659-01A-01R-1653-07	ABHD3|171586	271.3187
TCGA-A6-5659-01A-01R-1653-07	ABHD4|63874	402.9317
TCGA-A6-5659-01A-01R-1653-07	ABHD5|51099	356.5051
TCGA-A6-5659-01A-01R-1653-07	ABHD6|57406	297.7265
TCGA-A6-5659-01A-01R-1653-07	ABHD8|79575	60.9083
TCGA-A6-5659-01A-01R-1653-07	ABI1|10006	1624.7262
TCGA-A6-5659-01A-01R-1653-07	ABI2|10152	714.288
TCGA-A6-5659-01A-01R-1653-07	ABI3BP|25890	135.8723
TCGA-A6-5659-01A-01R-1653-07	ABI3|51225	94.131
TCGA-A6-5659-01A-01R-1653-07	ABL1|25	2740.4466
TCGA-A6-5659-01A-01R-1653-07	ABL2|27	622.2867
TCGA-A6-5659-01A-01R-1653-07	ABLIM1|3983	2093.8818
TCGA-A6-5659-01A-01R-1653-07	ABLIM2|84448	263.6519
TCGA-A6-5659-01A-01R-1653-07	ABLIM3|22885	73.2603
TCGA-A6-5659-01A-01R-1653-07	ABO|28	86.8901
TCGA-A6-5659-01A-01R-1653-07	ABP1|26	2809.0217
TCGA-A6-5659-01A-01R-1653-07	ABRA|137735	.4259
TCGA-A6-5659-01A-01R-1653-07	ABR|29	2054.6961
TCGA-A6-5659-01A-01R-1653-07	ABT1|29777	1077.1821
TCGA-A6-5659-01A-01R-1653-07	ABTB1|80325	349.6902
TCGA-A6-5659-01A-01R-1653-07	ABTB2|25841	548.1745
TCGA-A6-5659-01A-01R-1653-07	ACAA1|30	914.902
TCGA-A6-5659-01A-01R-1653-07	ACAA2|10449	1617.2639
TCGA-A6-5659-01A-01R-1653-07	ACACA|31	2252.3285
TCGA-A6-5659-01A-01R-1653-07	ACACB|32	285.8004
TCGA-A6-5659-01A-01R-1653-07	ACAD10|80724	396.1168
TCGA-A6-5659-01A-01R-1653-07	ACAD11|84129	183.926
TCGA-A6-5659-01A-01R-1653-07	ACAD8|27034	391.0056
TCGA-A6-5659-01A-01R-1653-07	ACAD9|28976	731.3253
TCGA-A6-5659-01A-01R-1653-07	ACADL|33	1.2778
TCGA-A6-5659-01A-01R-1653-07	ACADM|34	836.9564
TCGA-A6-5659-01A-01R-1653-07	ACADSB|36	644.0092
TCGA-A6-5659-01A-01R-1653-07	ACADS|35	284.5226
TCGA-A6-5659-01A-01R-1653-07	ACADVL|37	2420.5717
TCGA-A6-5659-01A-01R-1653-07	ACAN|176	239.3738
TCGA-A6-5659-01A-01R-1653-07	ACAP1|9744	27.2596
TCGA-A6-5659-01A-01R-1653-07	ACAP2|23527	866.7717
TCGA-A6-5659-01A-01R-1653-07	ACAP3|116983	425.9916
TCGA-A6-5659-01A-01R-1653-07	ACAT1|38	1514.6143
TCGA-A6-5659-01A-01R-1653-07	ACAT2|39	1341.8392
TCGA-A6-5659-01A-01R-1653-07	ACBD3|64746	1187.9244
TCGA-A6-5659-01A-01R-1653-07	ACBD4|79777	112.872
TCGA-A6-5659-01A-01R-1653-07	ACBD5|91452	683.195
TCGA-A6-5659-01A-01R-1653-07	ACBD6|84320	557.1191
TCGA-A6-5659-01A-01R-1653-07	ACBD7|414149	42.1673
TCGA-A6-5659-01A-01R-1653-07	ACCN1|40	1.2778
TCGA-A6-5659-01A-01R-1653-07	ACCN2|41	372.6905
TCGA-A6-5659-01A-01R-1653-07	ACCN3|9311	2.9815
TCGA-A6-5659-01A-01R-1653-07	ACCN4|55515	.4259
TCGA-A6-5659-01A-01R-1653-07	ACCN5|51802	0
TCGA-A6-5659-01A-01R-1653-07	ACCSL|390110	0
TCGA-A6-5659-01A-01R-1653-07	ACCS|84680	71.5566
TCGA-A6-5659-01A-01R-1653-07	ACD|65057	516.6555
TCGA-A6-5659-01A-01R-1653-07	ACE2|59272	3044.988
TCGA-A6-5659-01A-01R-1653-07	ACER1|125981	1.2778
TCGA-A6-5659-01A-01R-1653-07	ACER2|340485	34.0746
TCGA-A6-5659-01A-01R-1653-07	ACER3|55331	278.5595
TCGA-A6-5659-01A-01R-1653-07	ACE|1636	985.1808
TCGA-A6-5659-01A-01R-1653-07	ACHE|43	114.1498
TCGA-A6-5659-01A-01R-1653-07	ACIN1|22985	2579.8702
TCGA-A6-5659-01A-01R-1653-07	ACLY|47	5036.6461
TCGA-A6-5659-01A-01R-1653-07	ACMSD|130013	0
TCGA-A6-5659-01A-01R-1653-07	ACN9|57001	542.2115
TCGA-A6-5659-01A-01R-1653-07	ACO1|48	1639.8383
TCGA-A6-5659-01A-01R-1653-07	ACO2|50	2503.0491
TCGA-A6-5659-01A-01R-1653-07	ACOT11|26027	470.6549
TCGA-A6-5659-01A-01R-1653-07	ACOT12|134526	0
TCGA-A6-5659-01A-01R-1653-07	ACOT13|55856	1241.66
TCGA-A6-5659-01A-01R-1653-07	ACOT1|641371	447.2286
TCGA-A6-5659-01A-01R-1653-07	ACOT2|10965	288.356
TCGA-A6-5659-01A-01R-1653-07	ACOT4|122970	25.5559
TCGA-A6-5659-01A-01R-1653-07	ACOT6|641372	.8519
TCGA-A6-5659-01A-01R-1653-07	ACOT7|11332	1408.9831
TCGA-A6-5659-01A-01R-1653-07	ACOT8|10005	718.2918
TCGA-A6-5659-01A-01R-1653-07	ACOT9|23597	1666.672
TCGA-A6-5659-01A-01R-1653-07	ACOX1|51	1748.6426
TCGA-A6-5659-01A-01R-1653-07	ACOX2|8309	462.5622
TCGA-A6-5659-01A-01R-1653-07	ACOX3|8310	281.967
TCGA-A6-5659-01A-01R-1653-07	ACOXL|55289	0
TCGA-A6-5659-01A-01R-1653-07	ACP1|52	2830.3183
TCGA-A6-5659-01A-01R-1653-07	ACP2|53	503.8776
TCGA-A6-5659-01A-01R-1653-07	ACP5|54	511.1184
TCGA-A6-5659-01A-01R-1653-07	ACP6|51205	263.6519
TCGA-A6-5659-01A-01R-1653-07	ACPL2|92370	448.5064
TCGA-A6-5659-01A-01R-1653-07	ACPP|55	37.9079
TCGA-A6-5659-01A-01R-1653-07	ACPT|93650	0
TCGA-A6-5659-01A-01R-1653-07	ACRBP|84519	86.0383
TCGA-A6-5659-01A-01R-1653-07	ACRC|93953	31.093
TCGA-A6-5659-01A-01R-1653-07	ACRV1|56	2.1297
TCGA-A6-5659-01A-01R-1653-07	ACR|49	6.8149
TCGA-A6-5659-01A-01R-1653-07	ACSBG1|23205	3.8334
TCGA-A6-5659-01A-01R-1653-07	ACSBG2|81616	5.5371
TCGA-A6-5659-01A-01R-1653-07	ACSF2|80221	404.6354
TCGA-A6-5659-01A-01R-1653-07	ACSF3|197322	601.8419
TCGA-A6-5659-01A-01R-1653-07	ACSL1|2180	962.1804
TCGA-A6-5659-01A-01R-1653-07	ACSL3|2181	3550.5693
TCGA-A6-5659-01A-01R-1653-07	ACSL4|2182	1975.4727
TCGA-A6-5659-01A-01R-1653-07	ACSL5|51703	7761.7592
TCGA-A6-5659-01A-01R-1653-07	ACSL6|23305	184.0026
TCGA-A6-5659-01A-01R-1653-07	ACSM1|116285	4.6853
TCGA-A6-5659-01A-01R-1653-07	ACSM2A|123876	0
TCGA-A6-5659-01A-01R-1653-07	ACSM2B|348158	0
TCGA-A6-5659-01A-01R-1653-07	ACSM3|6296	252.2881
TCGA-A6-5659-01A-01R-1653-07	ACSM4|341392	0
TCGA-A6-5659-01A-01R-1653-07	ACSM5|54988	0
TCGA-A6-5659-01A-01R-1653-07	ACSS1|84532	2064.4925
TCGA-A6-5659-01A-01R-1653-07	ACSS2|55902	3098.2295
TCGA-A6-5659-01A-01R-1653-07	ACSS3|79611	16.1854
TCGA-A6-5659-01A-01R-1653-07	ACTA1|58	5.5371
TCGA-A6-5659-01A-01R-1653-07	ACTA2|59	6242.958
TCGA-A6-5659-01A-01R-1653-07	ACTBL2|345651	0
TCGA-A6-5659-01A-01R-1653-07	ACTB|60	127331.5253
TCGA-A6-5659-01A-01R-1653-07	ACTC1|70	103.9274
TCGA-A6-5659-01A-01R-1653-07	ACTG1|71	86458.2368
TCGA-A6-5659-01A-01R-1653-07	ACTG2|72	3594.8662
TCGA-A6-5659-01A-01R-1653-07	ACTL6A|86	2296.6254
TCGA-A6-5659-01A-01R-1653-07	ACTL6B|51412	.4259
TCGA-A6-5659-01A-01R-1653-07	ACTL7A|10881	.4259
TCGA-A6-5659-01A-01R-1653-07	ACTL7B|10880	0
TCGA-A6-5659-01A-01R-1653-07	ACTL8|81569	15.3336
TCGA-A6-5659-01A-01R-1653-07	ACTL9|284382	0
TCGA-A6-5659-01A-01R-1653-07	ACTN1|87	6378.332
TCGA-A6-5659-01A-01R-1653-07	ACTN2|88	1.2778
TCGA-A6-5659-01A-01R-1653-07	ACTN3|89	1.2778
TCGA-A6-5659-01A-01R-1653-07	ACTN4|81	25523.3459
TCGA-A6-5659-01A-01R-1653-07	ACTR10|55860	831.4193
TCGA-A6-5659-01A-01R-1653-07	ACTR1A|10121	2271.4955
TCGA-A6-5659-01A-01R-1653-07	ACTR1B|10120	1300.3705
TCGA-A6-5659-01A-01R-1653-07	ACTR2|10097	8860.6638
TCGA-A6-5659-01A-01R-1653-07	ACTR3B|57180	495.3589
TCGA-A6-5659-01A-01R-1653-07	ACTR3C|653857	59.2046
TCGA-A6-5659-01A-01R-1653-07	ACTR3|10096	6631.3356
TCGA-A6-5659-01A-01R-1653-07	ACTR5|79913	556.2672
TCGA-A6-5659-01A-01R-1653-07	ACTR6|64431	450.6361
TCGA-A6-5659-01A-01R-1653-07	ACTR8|93973	475.3401
TCGA-A6-5659-01A-01R-1653-07	ACTRT1|139741	0
TCGA-A6-5659-01A-01R-1653-07	ACTRT2|140625	0
TCGA-A6-5659-01A-01R-1653-07	ACVR1B|91	1911.157
TCGA-A6-5659-01A-01R-1653-07	ACVR1C|130399	16.6113
TCGA-A6-5659-01A-01R-1653-07	ACVR1|90	651.2501
TCGA-A6-5659-01A-01R-1653-07	ACVR2A|92	349.2643
TCGA-A6-5659-01A-01R-1653-07	ACVR2B|93	214.6697
TCGA-A6-5659-01A-01R-1653-07	ACVRL1|94	548.6004
TCGA-A6-5659-01A-01R-1653-07	ACY1|95	916.8442
TCGA-A6-5659-01A-01R-1653-07	ACY3|91703	85.1864
TCGA-A6-5659-01A-01R-1653-07	ACYP1|97	96.6866
TCGA-A6-5659-01A-01R-1653-07	ACYP2|98	129.4833
TCGA-A6-5659-01A-01R-1653-07	ADAD1|132612	0
TCGA-A6-5659-01A-01R-1653-07	ADAD2|161931	.8519
TCGA-A6-5659-01A-01R-1653-07	ADAL|161823	84.3345
TCGA-A6-5659-01A-01R-1653-07	ADAM10|102	1230.0917
TCGA-A6-5659-01A-01R-1653-07	ADAM11|4185	7.6668
TCGA-A6-5659-01A-01R-1653-07	ADAM12|8038	222.7624
TCGA-A6-5659-01A-01R-1653-07	ADAM15|8751	2101.1738
TCGA-A6-5659-01A-01R-1653-07	ADAM17|6868	483.0069
TCGA-A6-5659-01A-01R-1653-07	ADAM18|8749	0
TCGA-A6-5659-01A-01R-1653-07	ADAM19|8728	454.4695
TCGA-A6-5659-01A-01R-1653-07	ADAM20|8748	0
TCGA-A6-5659-01A-01R-1653-07	ADAM21P1|145241	.4259
TCGA-A6-5659-01A-01R-1653-07	ADAM21|8747	0
TCGA-A6-5659-01A-01R-1653-07	ADAM22|53616	37.9079
TCGA-A6-5659-01A-01R-1653-07	ADAM23|8745	20.4447
TCGA-A6-5659-01A-01R-1653-07	ADAM28|10863	21.7225
TCGA-A6-5659-01A-01R-1653-07	ADAM29|11086	0
TCGA-A6-5659-01A-01R-1653-07	ADAM2|2515	0
TCGA-A6-5659-01A-01R-1653-07	ADAM30|11085	0
TCGA-A6-5659-01A-01R-1653-07	ADAM32|203102	130.7611
TCGA-A6-5659-01A-01R-1653-07	ADAM33|80332	32.3708
TCGA-A6-5659-01A-01R-1653-07	ADAM3A|1587	0
TCGA-A6-5659-01A-01R-1653-07	ADAM5P|255926	0
TCGA-A6-5659-01A-01R-1653-07	ADAM6|8755	7066.2676
TCGA-A6-5659-01A-01R-1653-07	ADAM7|8756	0
TCGA-A6-5659-01A-01R-1653-07	ADAM8|101	70.2788
TCGA-A6-5659-01A-01R-1653-07	ADAM9|8754	3953.0751
TCGA-A6-5659-01A-01R-1653-07	ADAMDEC1|27299	191.6694
TCGA-A6-5659-01A-01R-1653-07	ADAMTS10|81794	20.0188
TCGA-A6-5659-01A-01R-1653-07	ADAMTS12|81792	111.5942
TCGA-A6-5659-01A-01R-1653-07	ADAMTS13|11093	18.741
TCGA-A6-5659-01A-01R-1653-07	ADAMTS14|140766	126.5018
TCGA-A6-5659-01A-01R-1653-07	ADAMTS15|170689	5.5371
TCGA-A6-5659-01A-01R-1653-07	ADAMTS16|170690	30.6671
TCGA-A6-5659-01A-01R-1653-07	ADAMTS17|170691	5.1112
TCGA-A6-5659-01A-01R-1653-07	ADAMTS18|170692	5.963
TCGA-A6-5659-01A-01R-1653-07	ADAMTS19|171019	1.2778
TCGA-A6-5659-01A-01R-1653-07	ADAMTS1|9510	698.5285
TCGA-A6-5659-01A-01R-1653-07	ADAMTS20|80070	0
TCGA-A6-5659-01A-01R-1653-07	ADAMTS2|9509	86.4642
TCGA-A6-5659-01A-01R-1653-07	ADAMTS3|9508	9.3705
TCGA-A6-5659-01A-01R-1653-07	ADAMTS4|9507	218.9291
TCGA-A6-5659-01A-01R-1653-07	ADAMTS5|11096	91.1495
TCGA-A6-5659-01A-01R-1653-07	ADAMTS6|11174	17.8891
TCGA-A6-5659-01A-01R-1653-07	ADAMTS7|11173	59.6305
TCGA-A6-5659-01A-01R-1653-07	ADAMTS8|11095	34.0746
TCGA-A6-5659-01A-01R-1653-07	ADAMTS9|56999	186.5582
TCGA-A6-5659-01A-01R-1653-07	ADAMTSL1|92949	75.8159
TCGA-A6-5659-01A-01R-1653-07	ADAMTSL2|9719	223.6143
TCGA-A6-5659-01A-01R-1653-07	ADAMTSL3|57188	107.7608
TCGA-A6-5659-01A-01R-1653-07	ADAMTSL4|54507	59.6305
TCGA-A6-5659-01A-01R-1653-07	ADAMTSL5|339366	38.3339
TCGA-A6-5659-01A-01R-1653-07	ADAP1|11033	1323.6136
TCGA-A6-5659-01A-01R-1653-07	ADAP2|55803	76.6678
TCGA-A6-5659-01A-01R-1653-07	ADARB1|104	191.6694
TCGA-A6-5659-01A-01R-1653-07	ADARB2|105	6.389
TCGA-A6-5659-01A-01R-1653-07	ADAR|103	4927.6075
TCGA-A6-5659-01A-01R-1653-07	ADAT1|23536	325.4121
TCGA-A6-5659-01A-01R-1653-07	ADAT2|134637	297.3005
TCGA-A6-5659-01A-01R-1653-07	ADAT3|113179	68.5751
TCGA-A6-5659-01A-01R-1653-07	ADA|100	37.9079
TCGA-A6-5659-01A-01R-1653-07	ADCK1|57143	361.1904
TCGA-A6-5659-01A-01R-1653-07	ADCK2|90956	898.7166
TCGA-A6-5659-01A-01R-1653-07	ADCK4|79934	501.322
TCGA-A6-5659-01A-01R-1653-07	ADCK5|203054	169.095
TCGA-A6-5659-01A-01R-1653-07	ADCY10|55811	1.7037
TCGA-A6-5659-01A-01R-1653-07	ADCY1|107	31.9449
TCGA-A6-5659-01A-01R-1653-07	ADCY2|108	15.7595
TCGA-A6-5659-01A-01R-1653-07	ADCY3|109	1626.9411
TCGA-A6-5659-01A-01R-1653-07	ADCY4|196883	52.8156
TCGA-A6-5659-01A-01R-1653-07	ADCY5|111	55.7971
TCGA-A6-5659-01A-01R-1653-07	ADCY6|112	795.641
TCGA-A6-5659-01A-01R-1653-07	ADCY7|113	184.4286
TCGA-A6-5659-01A-01R-1653-07	ADCY8|114	0
TCGA-A6-5659-01A-01R-1653-07	ADCY9|115	545.193
TCGA-A6-5659-01A-01R-1653-07	ADCYAP1R1|117	.8519
TCGA-A6-5659-01A-01R-1653-07	ADCYAP1|116	16.6113
TCGA-A6-5659-01A-01R-1653-07	ADC|113451	34.0746
TCGA-A6-5659-01A-01R-1653-07	ADD1|118	2882.282
TCGA-A6-5659-01A-01R-1653-07	ADD2|119	5.1112
TCGA-A6-5659-01A-01R-1653-07	ADD3|120	3897.278
TCGA-A6-5659-01A-01R-1653-07	ADH1A|124	1.7037
TCGA-A6-5659-01A-01R-1653-07	ADH1B|125	94.9828
TCGA-A6-5659-01A-01R-1653-07	ADH1C|126	51.1118
TCGA-A6-5659-01A-01R-1653-07	ADH4|127	.4259
TCGA-A6-5659-01A-01R-1653-07	ADH5|128	3625.1074
TCGA-A6-5659-01A-01R-1653-07	ADH6|130	43.4451
TCGA-A6-5659-01A-01R-1653-07	ADH7|131	0
TCGA-A6-5659-01A-01R-1653-07	ADHFE1|137872	8.5186
TCGA-A6-5659-01A-01R-1653-07	ADI1|55256	2154.3642
TCGA-A6-5659-01A-01R-1653-07	ADIG|149685	0
TCGA-A6-5659-01A-01R-1653-07	ADIPOQ|9370	16.1854
TCGA-A6-5659-01A-01R-1653-07	ADIPOR1|51094	2320.4776
TCGA-A6-5659-01A-01R-1653-07	ADIPOR2|79602	2223.3651
TCGA-A6-5659-01A-01R-1653-07	ADK|132	623.5645
TCGA-A6-5659-01A-01R-1653-07	ADM2|79924	69.8529
TCGA-A6-5659-01A-01R-1653-07	ADM|133	334.3566
TCGA-A6-5659-01A-01R-1653-07	ADNP2|22850	597.1567
TCGA-A6-5659-01A-01R-1653-07	ADNP|23394	4324.4878
TCGA-A6-5659-01A-01R-1653-07	ADORA1|134	12.352
TCGA-A6-5659-01A-01R-1653-07	ADORA2A|135	37.9079
TCGA-A6-5659-01A-01R-1653-07	ADORA2B|136	283.6707
TCGA-A6-5659-01A-01R-1653-07	ADORA3|140	20.0188
TCGA-A6-5659-01A-01R-1653-07	ADO|84890	800.3263
TCGA-A6-5659-01A-01R-1653-07	ADPGK|83440	1088.6822
TCGA-A6-5659-01A-01R-1653-07	ADPRHL1|113622	53.6674
TCGA-A6-5659-01A-01R-1653-07	ADPRHL2|54936	610.7865
TCGA-A6-5659-01A-01R-1653-07	ADPRH|141	214.2438
TCGA-A6-5659-01A-01R-1653-07	ADRA1A|148	.8519
TCGA-A6-5659-01A-01R-1653-07	ADRA1B|147	1.7037
TCGA-A6-5659-01A-01R-1653-07	ADRA1D|146	12.352
TCGA-A6-5659-01A-01R-1653-07	ADRA2A|150	54.5193
TCGA-A6-5659-01A-01R-1653-07	ADRA2B|151	6.389
TCGA-A6-5659-01A-01R-1653-07	ADRA2C|152	61.3342
TCGA-A6-5659-01A-01R-1653-07	ADRB1|153	2.1297
TCGA-A6-5659-01A-01R-1653-07	ADRB2|154	5.963
TCGA-A6-5659-01A-01R-1653-07	ADRB3|155	2.5556
TCGA-A6-5659-01A-01R-1653-07	ADRBK1|156	3266.0467
TCGA-A6-5659-01A-01R-1653-07	ADRBK2|157	246.1887
TCGA-A6-5659-01A-01R-1653-07	ADRM1|11047	4301.0615
TCGA-A6-5659-01A-01R-1653-07	ADSL|158	1101.8861
TCGA-A6-5659-01A-01R-1653-07	ADSSL1|122622	17.4632
TCGA-A6-5659-01A-01R-1653-07	ADSS|159	1279.9257
TCGA-A6-5659-01A-01R-1653-07	AEBP1|165	3093.5443
TCGA-A6-5659-01A-01R-1653-07	AEBP2|121536	672.5467
TCGA-A6-5659-01A-01R-1653-07	AEN|64782	897.8647
TCGA-A6-5659-01A-01R-1653-07	AES|166	4602.1955
TCGA-A6-5659-01A-01R-1653-07	AFAP1L1|134265	63.0379
TCGA-A6-5659-01A-01R-1653-07	AFAP1L2|84632	178.4655
TCGA-A6-5659-01A-01R-1653-07	AFAP1|60312	959.578
TCGA-A6-5659-01A-01R-1653-07	AFARP1|246182	3.8334
